sku,Barcode,name,qty
FEED-SASY-001B,2704872311008637,Sassy Less Mess Toddler Spoon Blue,-2
FEED-SASY-001C,2704872311008638,Sassy Less Mess Toddler Spoon Orange,0
FEED-SASY-002B,2704872311008640,Sassy Perfect Size Snack Pads Blue,4
FEED-SASY-003B,2704872311008642,Sassy On The Go Snack Bowl Set Blue,0
FEED-SASY-004B,2704872311008644,Sassy On The Go Formula Dispenser Green,0
FEED-SASY-004C,2704872311008645,Sassy On The Go Formula Dispenser Blue,0
FEED-SASY-005B,2704872311008647,Sassy On The Go Feeding Set Blue,0
PACI-SASY-002B,2704872311010686,Sassy Bumble Bites Teether Red,0
PAD0-BEE0-001A,2704872311010748,Babybee Disposable Breast Pad (isi 16),32
PAD0-BEE0-001B,2704872311010749,Babybee Disposable Breast Pad (isi 38),4
PAD0-BEE0-001C,2704872311010750,Babybee Disposable Breast Pad (isi 70),14
MOFO-MNER-001A,2704872311009888,Nyonya Meneer Jamu Habis Bersalin Lengkap Istimewa,10
MOFO-MNER-002A,2704872311009889,Nyonya Meneer Pil Jamu Habis Bersalin Super,2
MOFO-MNER-003A,2704872311009890,Nyonya Meneer Pil Jamu Habis Bersalin Pesanan Khusus,10
BOTT-TOMI-001A,2704872311002484,Tommee Tippee Bottle Tong,10
HAIR-TOMI-001A,2704872311009402,Tommee Tippee Brush & Comb Set,54
SCIS-TOMI-001A,2704872311011737,Tommee Tippee Baby Nail Clipper,0
SCIS-TOMI-001B,2704872311011738,Tommee Tippee Baby Nail Scissor,0
TOIL-TOMI-001A,2704872311013761,Tommee Tippee Toothbrush Trainer Sets (Isi 3),0
FEED-TOMI-010B,2704872311008711,Tommee Tippee Heat Sensor Twin Taste Bowl Hijau,10
FEED-TOMI-010A,2704872311008710,Tommee Tippee Heat Sensor Twin Taste Bowl Biru,0
FEED-TOMI-002A,2704872311008686,Tommee Tippee Big Weaning Bowl with H/S Spoon,0
PACI-TOMI-001B,2704872311010723,Tommee Tippee CTN Teether Stage 1 Pink,14
PACI-TOMI-001A,2704872311010722,Tommee Tippee CTN Teether Stage 1 Biru,6
PACI-TOMI-002B,2704872311010725,Tommee Tippee CTN Teether Stage 2 Pink,6
PACI-TOMI-002A,2704872311010724,Tommee Tippee CTN Teether Stage 2 Biru,4
PACI-TOMI-003B,2704872311010727,Tommee Tippee CTN Teether Stage 3 Pink,0
PACI-TOMI-003A,2704872311010726,Tommee Tippee CTN Teether Stage 3 Biru,8
PUMP-TOMI-001A,2704872311011597,Tommee Tippee CTN Breast Pump Kit,14
PACI-TOMI-004A,2704872311010728,Tommee Tippee CTN Fun Silicone Reversible Soother 0-3m Lebah,8
PACI-TOMI-005A,2704872311010729,Tommee Tippee CTN Fun Silicone Reversible Soother 3-9m Kodok,12
PACI-TOMI-005B,2704872311010730,Tommee Tippee CTN Fun Silicone Reversible Soother 3-9m Kumbang,4
PACI-TOMI-006A,2704872311010731,Tommee Tippee CTN Fun Silicone Reversible Soother 9-18m Panda,8
PACI-TOMI-006B,2704872311010732,Tommee Tippee CTN Fun Silicone Reversible Soother 9-18m Harimau,6
FEED-TOMI-001A,2704872311008682,Tommee Tippee CTN Soft Travel Cutlery Set 1,0
FEED-TOMI-003A,2704872311008687,Tommee Tippee First Silicone Weaning Spoon Mix 1 (Isi 2),4
FEED-TOMI-003B,2704872311008688,Tommee Tippee First Silicone Weaning Spoon Mix 2 (Isi 2),4
FEED-TOMI-003C,2704872311008689,Tommee Tippee First Silicone Weaning Spoon Mix 3 (Isi 2),0
FEED-TOMI-003D,2704872311008690,Tommee Tippee First Silicone Weaning Spoon Mix 4 (Isi 2),8
FEED-TOMI-003E,2704872311008691,Tommee Tippee First Silicone Weaning Spoon Mix 5 (Isi 2),6
FEED-TOMI-003F,2704872311008692,Tommee Tippee First Silicone Weaning Spoon Mix 6 (Isi 2),2
FEED-TOMI-004A,2704872311008693,Tommee Tippee Feeding Spoon Mix 1 (Isi 2),2
